File Path,Label,video_id
DeepFakeDetection/01_02__meeting_serious__YVGY8LOK.mp4,1,01_02__meeting_serious__YVGY8LOK
DeepFakeDetection/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,1,01_02__outside_talking_still_laughing__YVGY8LOK
DeepFakeDetection/01_02__talking_against_wall__YVGY8LOK.mp4,1,01_02__talking_against_wall__YVGY8LOK
DeepFakeDetection/01_02__walk_down_hall_angry__YVGY8LOK.mp4,1,01_02__walk_down_hall_angry__YVGY8LOK
DeepFakeDetection/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1,01_02__walking_down_indoor_hall_disgust__YVGY8LOK
DeepFakeDetection/01_03__hugging_happy__ISF9SP4G.mp4,1,01_03__hugging_happy__ISF9SP4G
DeepFakeDetection/01_03__kitchen_pan__JZUXXFRB.mp4,1,01_03__kitchen_pan__JZUXXFRB
DeepFakeDetection/01_03__podium_speech_happy__480LQD1C.mp4,1,01_03__podium_speech_happy__480LQD1C
DeepFakeDetection/01_03__talking_against_wall__JZUXXFRB.mp4,1,01_03__talking_against_wall__JZUXXFRB
DeepFakeDetection/01_04__hugging_happy__GBC7ZGDP.mp4,1,01_04__hugging_happy__GBC7ZGDP
DeepFakeDetection/01_04__meeting_serious__0XUW13RW.mp4,1,01_04__meeting_serious__0XUW13RW
DeepFakeDetection/01_04__talking_angry_couch__0XUW13RW.mp4,1,01_04__talking_angry_couch__0XUW13RW
DeepFakeDetection/01_04__walk_down_hall_angry__GBC7ZGDP.mp4,1,01_04__walk_down_hall_angry__GBC7ZGDP
DeepFakeDetection/01_09__talking_angry_couch__P70H1JB0.mp4,1,01_09__talking_angry_couch__P70H1JB0
DeepFakeDetection/01_11__hugging_happy__4OJNJLOO.mp4,1,01_11__hugging_happy__4OJNJLOO
DeepFakeDetection/01_11__meeting_serious__9OM3VE0Y.mp4,1,01_11__meeting_serious__9OM3VE0Y
DeepFakeDetection/01_11__meeting_serious__FCNL2OVP.mp4,1,01_11__meeting_serious__FCNL2OVP
DeepFakeDetection/01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,1,01_11__outside_talking_pan_laughing__WIZ7GKOD
DeepFakeDetection/01_11__secret_conversation__4OJNJLOO.mp4,1,01_11__secret_conversation__4OJNJLOO
DeepFakeDetection/01_11__talking_against_wall__4OJNJLOO.mp4,1,01_11__talking_against_wall__4OJNJLOO
DeepFakeDetection/01_11__talking_against_wall__9229VVZ3.mp4,1,01_11__talking_against_wall__9229VVZ3
DeepFakeDetection/01_11__talking_against_wall__UQ0BOBNO.mp4,1,01_11__talking_against_wall__UQ0BOBNO
DeepFakeDetection/01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,1,01_11__walking_outside_cafe_disgusted__FAFWDR4W
DeepFakeDetection/01_12__outside_talking_pan_laughing__TNI7KUZ6.mp4,1,01_12__outside_talking_pan_laughing__TNI7KUZ6
DeepFakeDetection/01_12__outside_talking_still_laughing__TNI7KUZ6.mp4,1,01_12__outside_talking_still_laughing__TNI7KUZ6
DeepFakeDetection/01_15__exit_phone_room__02HILKYO.mp4,1,01_15__exit_phone_room__02HILKYO
DeepFakeDetection/01_15__kitchen_still__02HILKYO.mp4,1,01_15__kitchen_still__02HILKYO
DeepFakeDetection/01_15__meeting_serious__02HILKYO.mp4,1,01_15__meeting_serious__02HILKYO
DeepFakeDetection/01_15__outside_talking_pan_laughing__02HILKYO.mp4,1,01_15__outside_talking_pan_laughing__02HILKYO
DeepFakeDetection/01_20__hugging_happy__FW94AIMJ.mp4,1,01_20__hugging_happy__FW94AIMJ
DeepFakeDetection/01_20__kitchen_pan__6UBMLXK3.mp4,1,01_20__kitchen_pan__6UBMLXK3
DeepFakeDetection/01_20__outside_talking_pan_laughing__OTGHOG4Z.mp4,1,01_20__outside_talking_pan_laughing__OTGHOG4Z
DeepFakeDetection/01_20__outside_talking_still_laughing__FW94AIMJ.mp4,1,01_20__outside_talking_still_laughing__FW94AIMJ
DeepFakeDetection/01_20__walk_down_hall_angry__FW94AIMJ.mp4,1,01_20__walk_down_hall_angry__FW94AIMJ
DeepFakeDetection/01_21__talking_angry_couch__03X7CELV.mp4,1,01_21__talking_angry_couch__03X7CELV
DeepFakeDetection/01_21__walk_down_hall_angry__03X7CELV.mp4,1,01_21__walk_down_hall_angry__03X7CELV
DeepFakeDetection/01_26__outside_talking_pan_laughing__ZMEJ535O.mp4,1,01_26__outside_talking_pan_laughing__ZMEJ535O
DeepFakeDetection/01_27__hugging_happy__ZYCZ30C0.mp4,1,01_27__hugging_happy__ZYCZ30C0
DeepFakeDetection/01_27__meeting_serious__ZYCZ30C0.mp4,1,01_27__meeting_serious__ZYCZ30C0
DeepFakeDetection/01_27__outside_talking_pan_laughing__S2YCUY48.mp4,1,01_27__outside_talking_pan_laughing__S2YCUY48
DeepFakeDetection/01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,1,01_27__outside_talking_still_laughing__ZYCZ30C0
DeepFakeDetection/01_27__walking_outside_cafe_disgusted__ZYCZ30C0.mp4,1,01_27__walking_outside_cafe_disgusted__ZYCZ30C0
DeepFakeDetection/02_01__outside_talking_still_laughing__YVGY8LOK.mp4,1,02_01__outside_talking_still_laughing__YVGY8LOK
DeepFakeDetection/02_01__secret_conversation__YVGY8LOK.mp4,1,02_01__secret_conversation__YVGY8LOK
DeepFakeDetection/02_01__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1,02_01__walking_down_indoor_hall_disgust__YVGY8LOK
DeepFakeDetection/02_01__walking_outside_cafe_disgusted__YVGY8LOK.mp4,1,02_01__walking_outside_cafe_disgusted__YVGY8LOK
DeepFakeDetection/02_03__walking_down_street_outside_angry__QH3Y0IG0.mp4,1,02_03__walking_down_street_outside_angry__QH3Y0IG0
DeepFakeDetection/02_03__walking_outside_cafe_disgusted__QH3Y0IG0.mp4,1,02_03__walking_outside_cafe_disgusted__QH3Y0IG0
DeepFakeDetection/02_04__podium_speech_happy__8CH7R4LW.mp4,1,02_04__podium_speech_happy__8CH7R4LW
DeepFakeDetection/02_06__exit_phone_room__HZAXM70B.mp4,1,02_06__exit_phone_room__HZAXM70B
DeepFakeDetection/02_06__podium_speech_happy__N8OSN8P6.mp4,1,02_06__podium_speech_happy__N8OSN8P6
DeepFakeDetection/02_06__podium_speech_happy__SU4OQCS9.mp4,1,02_06__podium_speech_happy__SU4OQCS9
DeepFakeDetection/02_06__talking_angry_couch__GH8TGTBS.mp4,1,02_06__talking_angry_couch__GH8TGTBS
DeepFakeDetection/02_06__talking_angry_couch__J1W9R0NG.mp4,1,02_06__talking_angry_couch__J1W9R0NG
DeepFakeDetection/02_06__talking_angry_couch__MKZTXQ2T.mp4,1,02_06__talking_angry_couch__MKZTXQ2T
